class_index,class,height,width,scale by,Offset
184,GOLDEN CHEEKED WARBLER,112,112,1,0
185,GOLDEN CHLOROPHONIA,112,112,1,0
186,GOLDEN EAGLE,112,112,1,0
187,GOLDEN PHEASANT,112,112,1,0
188,GOLDEN PIPIT,112,112,1,0
189,GOULDIAN FINCH,112,112,1,0
190,GRAY CATBIRD,112,112,1,0
191,GRAY KINGBIRD,112,112,1,0
192,GRAY PARTRIDGE,112,112,1,0
193,GREAT GRAY OWL,112,112,1,0
194,GREAT JACAMAR,112,112,1,0
195,GREAT KISKADEE,112,112,1,0
196,GREAT POTOO,112,112,1,0
197,GREATOR SAGE GROUSE,112,112,1,0
198,GREEN BROADBILL,112,112,1,0
199,GREEN JAY,112,112,1,0
200,GREEN MAGPIE,112,112,1,0
201,GREY PLOVER,112,112,1,0
202,GROVED BILLED ANI,112,112,1,0
203,GUINEA TURACO,112,112,1,0
204,GUINEAFOWL,112,112,1,0
205,GURNEYS PITTA,112,112,1,0
206,GYRFALCON,112,112,1,0
207,HAMMERKOP,112,112,1,0
208,HARLEQUIN DUCK,112,112,1,0
209,HARLEQUIN QUAIL,112,112,1,0
210,HARPY EAGLE,112,112,1,0
211,HAWAIIAN GOOSE,112,112,1,0
212,HAWFINCH,112,112,1,0
213,HELMET VANGA,112,112,1,0
214,HEPATIC TANAGER,112,112,1,0
215,HIMALAYAN BLUETAIL,112,112,1,0
216,HIMALAYAN MONAL,112,112,1,0
217,HOATZIN,112,112,1,0
218,HOODED MERGANSER,112,112,1,0
219,HOOPOES,112,112,1,0
220,HORNBILL,112,112,1,0
221,HORNED GUAN,112,112,1,0
222,HORNED LARK,112,112,1,0
223,HORNED SUNGEM,112,112,1,0
224,HOUSE FINCH,112,112,1,0
225,HOUSE SPARROW,112,112,1,0
226,HYACINTH MACAW,112,112,1,0
227,IBERIAN MAGPIE,112,112,1,0
228,IBISBILL,112,112,1,0
229,IMPERIAL SHAQ,112,112,1,0
230,INCA TERN,112,112,1,0
231,INDIAN BUSTARD,112,112,1,0
232,INDIAN PITTA,112,112,1,0
233,INDIAN ROLLER,112,112,1,0
234,INDIGO BUNTING,112,112,1,0
235,INLAND DOTTEREL,112,112,1,0
236,IVORY GULL,112,112,1,0
237,IWI,112,112,1,0
238,JABIRU,112,112,1,0
239,JACK SNIPE,112,112,1,0
240,JANDAYA PARAKEET,112,112,1,0
241,JAPANESE ROBIN,112,112,1,0
242,JAVA SPARROW,112,112,1,0
243,KAGU,112,112,1,0
244,KAKAPO,112,112,1,0
245,KILLDEAR,112,112,1,0
246,KING VULTURE,112,112,1,0
247,KIWI,112,112,1,0
248,KOOKABURRA,112,112,1,0
249,LARK BUNTING,112,112,1,0
250,LAZULI BUNTING,112,112,1,0
251,LESSER ADJUTANT,112,112,1,0
252,LILAC ROLLER,112,112,1,0
253,LITTLE AUK,112,112,1,0
254,LONG-EARED OWL,112,112,1,0
255,MAGPIE GOOSE,112,112,1,0
256,MALABAR HORNBILL,112,112,1,0
257,MALACHITE KINGFISHER,112,112,1,0
258,MALAGASY WHITE EYE,112,112,1,0
259,MALEO,112,112,1,0
260,MALLARD DUCK,112,112,1,0
261,MANDRIN DUCK,112,112,1,0
262,MANGROVE CUCKOO,112,112,1,0
263,MARABOU STORK,112,112,1,0
264,MASKED BOOBY,112,112,1,0
265,MASKED LAPWING,112,112,1,0
266,MIKADO  PHEASANT,112,112,1,0
267,MOURNING DOVE,112,112,1,0
268,MYNA,112,112,1,0
269,NICOBAR PIGEON,112,112,1,0
270,NOISY FRIARBIRD,112,112,1,0
271,NORTHERN CARDINAL,112,112,1,0
272,NORTHERN FLICKER,112,112,1,0
273,NORTHERN FULMAR,112,112,1,0
274,NORTHERN GANNET,112,112,1,0
275,NORTHERN GOSHAWK,112,112,1,0
276,NORTHERN JACANA,112,112,1,0
277,NORTHERN MOCKINGBIRD,112,112,1,0
278,NORTHERN PARULA,112,112,1,0
279,NORTHERN RED BISHOP,112,112,1,0
280,NORTHERN SHOVELER,112,112,1,0
281,OCELLATED TURKEY,112,112,1,0
282,OKINAWA RAIL,112,112,1,0
283,ORANGE BRESTED BUNTING,112,112,1,0
284,ORIENTAL BAY OWL,112,112,1,0
285,OSPREY,112,112,1,0
286,OSTRICH,112,112,1,0
287,OVENBIRD,112,112,1,0
288,OYSTER CATCHER,112,112,1,0
289,PAINTED BUNTING,112,112,1,0
290,PALILA,112,112,1,0
291,PARADISE TANAGER,112,112,1,0
292,PARAKETT  AKULET,112,112,1,0
293,PARUS MAJOR,112,112,1,0
294,PATAGONIAN SIERRA FINCH,112,112,1,0
295,PEACOCK,112,112,1,0
296,PELICAN,112,112,1,0
297,PEREGRINE FALCON,112,112,1,0
298,PHILIPPINE EAGLE,112,112,1,0
299,PINK ROBIN,112,112,1,0
300,POMARINE JAEGER,112,112,1,0
301,PUFFIN,112,112,1,0
302,PURPLE FINCH,112,112,1,0
303,PURPLE GALLINULE,112,112,1,0
304,PURPLE MARTIN,112,112,1,0
305,PURPLE SWAMPHEN,112,112,1,0
306,PYGMY KINGFISHER,112,112,1,0
307,QUETZAL,112,112,1,0
308,RAINBOW LORIKEET,112,112,1,0
309,RAZORBILL,112,112,1,0
310,RED BEARDED BEE EATER,112,112,1,0
311,RED BELLIED PITTA,112,112,1,0
312,RED BROWED FINCH,112,112,1,0
313,RED FACED CORMORANT,112,112,1,0
314,RED FACED WARBLER,112,112,1,0
315,RED FODY,112,112,1,0
316,RED HEADED DUCK,112,112,1,0
317,RED HEADED WOODPECKER,112,112,1,0
318,RED HONEY CREEPER,112,112,1,0
319,RED NAPED TROGON,112,112,1,0
320,RED TAILED HAWK,112,112,1,0
321,RED TAILED THRUSH,112,112,1,0
322,RED WINGED BLACKBIRD,112,112,1,0
323,RED WISKERED BULBUL,112,112,1,0
324,REGENT BOWERBIRD,112,112,1,0
325,RING-NECKED PHEASANT,112,112,1,0
326,ROADRUNNER,112,112,1,0
327,ROBIN,112,112,1,0
328,ROCK DOVE,112,112,1,0
329,ROSY FACED LOVEBIRD,112,112,1,0
330,ROUGH LEG BUZZARD,112,112,1,0
331,ROYAL FLYCATCHER,112,112,1,0
332,RUBY THROATED HUMMINGBIRD,112,112,1,0
333,RUDY KINGFISHER,112,112,1,0
334,RUFOUS KINGFISHER,112,112,1,0
335,RUFUOS MOTMOT,112,112,1,0
336,SAMATRAN THRUSH,112,112,1,0
337,SAND MARTIN,112,112,1,0
338,SANDHILL CRANE,112,112,1,0
339,SATYR TRAGOPAN,112,112,1,0
340,SCARLET CROWNED FRUIT DOVE,112,112,1,0
341,SCARLET IBIS,112,112,1,0
342,SCARLET MACAW,112,112,1,0
343,SCARLET TANAGER,112,112,1,0
344,SHOEBILL,112,112,1,0
345,SHORT BILLED DOWITCHER,112,112,1,0
346,SMITHS LONGSPUR,112,112,1,0
347,SNOWY EGRET,112,112,1,0
348,SNOWY OWL,112,112,1,0
349,SORA,112,112,1,0
350,SPANGLED COTINGA,112,112,1,0
351,SPLENDID WREN,112,112,1,0
352,SPOON BILED SANDPIPER,112,112,1,0
353,SPOONBILL,112,112,1,0
354,SPOTTED CATBIRD,112,112,1,0
355,SRI LANKA BLUE MAGPIE,112,112,1,0
356,STEAMER DUCK,112,112,1,0
357,STORK BILLED KINGFISHER,112,112,1,0
358,STRAWBERRY FINCH,112,112,1,0
359,STRIPED OWL,112,112,1,0
360,STRIPPED MANAKIN,112,112,1,0
361,STRIPPED SWALLOW,112,112,1,0
362,SUPERB STARLING,112,112,1,0
363,SWINHOES PHEASANT,112,112,1,0
364,TAILORBIRD,112,112,1,0
365,TAIWAN MAGPIE,112,112,1,0
366,TAKAHE,112,112,1,0
367,TASMANIAN HEN,112,112,1,0
368,TEAL DUCK,112,112,1,0
369,TIT MOUSE,112,112,1,0
370,TOUCHAN,112,112,1,0
371,TOWNSENDS WARBLER,112,112,1,0
372,TREE SWALLOW,112,112,1,0
373,TROPICAL KINGBIRD,112,112,1,0
374,TRUMPTER SWAN,112,112,1,0
375,TURKEY VULTURE,112,112,1,0
376,TURQUOISE MOTMOT,112,112,1,0
377,UMBRELLA BIRD,112,112,1,0
378,VARIED THRUSH,112,112,1,0
379,VENEZUELIAN TROUPIAL,112,112,1,0
380,VERMILION FLYCATHER,112,112,1,0
381,VICTORIA CROWNED PIGEON,112,112,1,0
382,VIOLET GREEN SWALLOW,112,112,1,0
383,VIOLET TURACO,112,112,1,0
384,VULTURINE GUINEAFOWL,112,112,1,0
385,WALL CREAPER,112,112,1,0
386,WATTLED CURASSOW,112,112,1,0
387,WATTLED LAPWING,112,112,1,0
388,WHIMBREL,112,112,1,0
389,WHITE BROWED CRAKE,112,112,1,0
390,WHITE CHEEKED TURACO,112,112,1,0
391,WHITE NECKED RAVEN,112,112,1,0
392,WHITE TAILED TROPIC,112,112,1,0
393,WHITE THROATED BEE EATER,112,112,1,0
394,WILD TURKEY,112,112,1,0
395,WILSONS BIRD OF PARADISE,112,112,1,0
396,WOOD DUCK,112,112,1,0
397,YELLOW BELLIED FLOWERPECKER,112,112,1,0
398,YELLOW CACIQUE,112,112,1,0
399,YELLOW HEADED BLACKBIRD,112,112,1,0
